sentence,label
move 132 degree towards left,"0,-132,0"
move 133 degree towards left,"0,-133,0"
move 134 degree towards left,"0,-134,0"
move 135 degree towards left,"0,-135,0"
move 136 degree towards left,"0,-136,0"
move 137 degree towards left,"0,-137,0"
move 138 degree towards left,"0,-138,0"
move 139 degree towards left,"0,-139,0"
move 140 degree towards left,"0,-140,0"
move 141 degree towards left,"0,-141,0"
move 142 degree towards left,"0,-142,0"
move 143 degree towards left,"0,-143,0"
move 144 degree towards left,"0,-144,0"
move 145 degree towards left,"0,-145,0"
move 146 degree towards left,"0,-146,0"
move 147 degree towards left,"0,-147,0"
move 148 degree towards left,"0,-148,0"
move 149 degree towards left,"0,-149,0"
move 150 degree towards left,"0,-150,0"
move 151 degree towards left,"0,-151,0"
move 152 degree towards left,"0,-152,0"
move 153 degree towards left,"0,-153,0"
move 154 degree towards left,"0,-154,0"
move 155 degree towards left,"0,-155,0"
move 156 degree towards left,"0,-156,0"
move 157 degree towards left,"0,-157,0"
move 158 degree towards left,"0,-158,0"
move 159 degree towards left,"0,-159,0"
move 160 degree towards left,"0,-160,0"
move 161 degree towards left,"0,-161,0"
move 162 degree towards left,"0,-162,0"
move 163 degree towards left,"0,-163,0"
move 164 degree towards left,"0,-164,0"
move 165 degree towards left,"0,-165,0"
move 166 degree towards left,"0,-166,0"
move 167 degree towards left,"0,-167,0"
move 168 degree towards left,"0,-168,0"
move 169 degree towards left,"0,-169,0"
move 170 degree towards left,"0,-170,0"
move 171 degree towards left,"0,-171,0"
move 172 degree towards left,"0,-172,0"
move 173 degree towards left,"0,-173,0"
move 174 degree towards left,"0,-174,0"
move 175 degree towards left,"0,-175,0"
move 176 degree towards left,"0,-176,0"
move 177 degree towards left,"0,-177,0"
move 178 degree towards left,"0,-178,0"
move 179 degree towards left,"0,-179,0"
move 180 degree towards left,"0,-180,0"
move 181 degree towards left,"0,-181,0"
move 182 degree towards left,"0,-182,0"
move 183 degree towards left,"0,-183,0"
move 184 degree towards left,"0,-184,0"
move 185 degree towards left,"0,-185,0"
move 186 degree towards left,"0,-186,0"
move 187 degree towards left,"0,-187,0"
move 188 degree towards left,"0,-188,0"
move 189 degree towards left,"0,-189,0"
move 190 degree towards left,"0,-190,0"
move 191 degree towards left,"0,-191,0"
move 192 degree towards left,"0,-192,0"
move 193 degree towards left,"0,-193,0"
move 194 degree towards left,"0,-194,0"
move 195 degree towards left,"0,-195,0"
move 196 degree towards left,"0,-196,0"
move 197 degree towards left,"0,-197,0"
move 198 degree towards left,"0,-198,0"
move 199 degree towards left,"0,-199,0"
move 200 degree towards left,"0,-200,0"
move 201 degree towards left,"0,-201,0"
move 202 degree towards left,"0,-202,0"
move 203 degree towards left,"0,-203,0"
move 204 degree towards left,"0,-204,0"
move 205 degree towards left,"0,-205,0"
move 206 degree towards left,"0,-206,0"
move 207 degree towards left,"0,-207,0"
move 208 degree towards left,"0,-208,0"
move 209 degree towards left,"0,-209,0"
move 210 degree towards left,"0,-210,0"
move 211 degree towards left,"0,-211,0"
move 212 degree towards left,"0,-212,0"
move 213 degree towards left,"0,-213,0"
move 214 degree towards left,"0,-214,0"
move 215 degree towards left,"0,-215,0"
move 216 degree towards left,"0,-216,0"
move 217 degree towards left,"0,-217,0"
move 218 degree towards left,"0,-218,0"
move 219 degree towards left,"0,-219,0"
move 220 degree towards left,"0,-220,0"
move 221 degree towards left,"0,-221,0"
move 222 degree towards left,"0,-222,0"
move 223 degree towards left,"0,-223,0"
move 224 degree towards left,"0,-224,0"
move 225 degree towards left,"0,-225,0"
move 226 degree towards left,"0,-226,0"
move 227 degree towards left,"0,-227,0"
move 228 degree towards left,"0,-228,0"
move 229 degree towards left,"0,-229,0"
move 230 degree towards left,"0,-230,0"
move 231 degree towards left,"0,-231,0"
move 232 degree towards left,"0,-232,0"
move 233 degree towards left,"0,-233,0"
move 234 degree towards left,"0,-234,0"
move 235 degree towards left,"0,-235,0"
move 236 degree towards left,"0,-236,0"
move 237 degree towards left,"0,-237,0"
move 238 degree towards left,"0,-238,0"
move 239 degree towards left,"0,-239,0"
move 240 degree towards left,"0,-240,0"
move 241 degree towards left,"0,-241,0"
move 242 degree towards left,"0,-242,0"
move 243 degree towards left,"0,-243,0"
move 244 degree towards left,"0,-244,0"
move 245 degree towards left,"0,-245,0"
move 246 degree towards left,"0,-246,0"
move 247 degree towards left,"0,-247,0"
move 248 degree towards left,"0,-248,0"
move 249 degree towards left,"0,-249,0"
move 250 degree towards left,"0,-250,0"
move 251 degree towards left,"0,-251,0"
move 252 degree towards left,"0,-252,0"
move 253 degree towards left,"0,-253,0"
move 254 degree towards left,"0,-254,0"
move 255 degree towards left,"0,-255,0"
move 256 degree towards left,"0,-256,0"
move 257 degree towards left,"0,-257,0"
move 258 degree towards left,"0,-258,0"
move 259 degree towards left,"0,-259,0"
move 260 degree towards left,"0,-260,0"
move 261 degree towards left,"0,-261,0"
move 262 degree towards left,"0,-262,0"
move 263 degree towards left,"0,-263,0"
move 264 degree towards left,"0,-264,0"
move 265 degree towards left,"0,-265,0"
move 266 degree towards left,"0,-266,0"
move 267 degree towards left,"0,-267,0"
move 268 degree towards left,"0,-268,0"
move 269 degree towards left,"0,-269,0"
move 270 degree towards left,"0,-270,0"
move 271 degree towards left,"0,-271,0"
move 272 degree towards left,"0,-272,0"
move 273 degree towards left,"0,-273,0"
move 274 degree towards left,"0,-274,0"
move 275 degree towards left,"0,-275,0"
move 276 degree towards left,"0,-276,0"
move 277 degree towards left,"0,-277,0"
move 278 degree towards left,"0,-278,0"
move 279 degree towards left,"0,-279,0"
move 280 degree towards left,"0,-280,0"
move 281 degree towards left,"0,-281,0"
move 282 degree towards left,"0,-282,0"
move 283 degree towards left,"0,-283,0"
move 284 degree towards left,"0,-284,0"
move 285 degree towards left,"0,-285,0"
move 286 degree towards left,"0,-286,0"
move 287 degree towards left,"0,-287,0"
move 288 degree towards left,"0,-288,0"
move 289 degree towards left,"0,-289,0"
move 290 degree towards left,"0,-290,0"
move 291 degree towards left,"0,-291,0"
move 292 degree towards left,"0,-292,0"
move 293 degree towards left,"0,-293,0"
move 294 degree towards left,"0,-294,0"
move 295 degree towards left,"0,-295,0"
move 296 degree towards left,"0,-296,0"
move 297 degree towards left,"0,-297,0"
move 298 degree towards left,"0,-298,0"
move 299 degree towards left,"0,-299,0"
move 300 degree towards left,"0,-300,0"
move 301 degree towards left,"0,-301,0"
move 302 degree towards left,"0,-302,0"
move 303 degree towards left,"0,-303,0"
move 304 degree towards left,"0,-304,0"
move 305 degree towards left,"0,-305,0"
move 306 degree towards left,"0,-306,0"
move 307 degree towards left,"0,-307,0"
move 308 degree towards left,"0,-308,0"
move 309 degree towards left,"0,-309,0"
move 310 degree towards left,"0,-310,0"
move 311 degree towards left,"0,-311,0"
move 312 degree towards left,"0,-312,0"
move 313 degree towards left,"0,-313,0"
move 314 degree towards left,"0,-314,0"
move 315 degree towards left,"0,-315,0"
move 316 degree towards left,"0,-316,0"
move 317 degree towards left,"0,-317,0"
move 318 degree towards left,"0,-318,0"
move 319 degree towards left,"0,-319,0"
move 320 degree towards left,"0,-320,0"
move 321 degree towards left,"0,-321,0"
move 322 degree towards left,"0,-322,0"
move 323 degree towards left,"0,-323,0"
move 324 degree towards left,"0,-324,0"
move 325 degree towards left,"0,-325,0"
move 326 degree towards left,"0,-326,0"
move 327 degree towards left,"0,-327,0"
move 328 degree towards left,"0,-328,0"
move 329 degree towards left,"0,-329,0"
move 330 degree towards left,"0,-330,0"
move 331 degree towards left,"0,-331,0"
move 332 degree towards left,"0,-332,0"
move 333 degree towards left,"0,-333,0"
move 334 degree towards left,"0,-334,0"
move 335 degree towards left,"0,-335,0"
move 336 degree towards left,"0,-336,0"
move 337 degree towards left,"0,-337,0"
move 338 degree towards left,"0,-338,0"
move 339 degree towards left,"0,-339,0"
move 340 degree towards left,"0,-340,0"
move 341 degree towards left,"0,-341,0"
move 342 degree towards left,"0,-342,0"
move 343 degree towards left,"0,-343,0"
move 344 degree towards left,"0,-344,0"
move 345 degree towards left,"0,-345,0"
move 346 degree towards left,"0,-346,0"
move 347 degree towards left,"0,-347,0"
move 348 degree towards left,"0,-348,0"
move 349 degree towards left,"0,-349,0"
move 350 degree towards left,"0,-350,0"
move 351 degree towards left,"0,-351,0"
move 352 degree towards left,"0,-352,0"
move 353 degree towards left,"0,-353,0"
move 354 degree towards left,"0,-354,0"
move 355 degree towards left,"0,-355,0"
move 356 degree towards left,"0,-356,0"
move 357 degree towards left,"0,-357,0"
move 358 degree towards left,"0,-358,0"
move 359 degree towards left,"0,-359,0"
move 360 degree towards left,"0,-360,0"
move 1 degree towards right,"0,1,0"
move 2 degree towards right,"0,2,0"
move 3 degree towards right,"0,3,0"
move 4 degree towards right,"0,4,0"
move 5 degree towards right,"0,5,0"
move 6 degree towards right,"0,6,0"
move 7 degree towards right,"0,7,0"
move 8 degree towards right,"0,8,0"
move 9 degree towards right,"0,9,0"
move 10 degree towards right,"0,10,0"
move 11 degree towards right,"0,11,0"
move 12 degree towards right,"0,12,0"
move 13 degree towards right,"0,13,0"
move 14 degree towards right,"0,14,0"
move 15 degree towards right,"0,15,0"
move 16 degree towards right,"0,16,0"
move 17 degree towards right,"0,17,0"
move 18 degree towards right,"0,18,0"
move 19 degree towards right,"0,19,0"
move 20 degree towards right,"0,20,0"
move 21 degree towards right,"0,21,0"
move 22 degree towards right,"0,22,0"
move 23 degree towards right,"0,23,0"
move 24 degree towards right,"0,24,0"
move 25 degree towards right,"0,25,0"
move 26 degree towards right,"0,26,0"
move 27 degree towards right,"0,27,0"
move 28 degree towards right,"0,28,0"
move 29 degree towards right,"0,29,0"
move 30 degree towards right,"0,30,0"
move 31 degree towards right,"0,31,0"
move 32 degree towards right,"0,32,0"
move 33 degree towards right,"0,33,0"
move 34 degree towards right,"0,34,0"
move 35 degree towards right,"0,35,0"
move 36 degree towards right,"0,36,0"
move 37 degree towards right,"0,37,0"
move 38 degree towards right,"0,38,0"
move 39 degree towards right,"0,39,0"
move 40 degree towards right,"0,40,0"
move 41 degree towards right,"0,41,0"
move 42 degree towards right,"0,42,0"
move 43 degree towards right,"0,43,0"
move 44 degree towards right,"0,44,0"
move 45 degree towards right,"0,45,0"
move 46 degree towards right,"0,46,0"
move 47 degree towards right,"0,47,0"
move 48 degree towards right,"0,48,0"
move 49 degree towards right,"0,49,0"
move 50 degree towards right,"0,50,0"
move 51 degree towards right,"0,51,0"
move 52 degree towards right,"0,52,0"
move 53 degree towards right,"0,53,0"
move 54 degree towards right,"0,54,0"
move 55 degree towards right,"0,55,0"
move 56 degree towards right,"0,56,0"
move 57 degree towards right,"0,57,0"
move 58 degree towards right,"0,58,0"
move 59 degree towards right,"0,59,0"
move 60 degree towards right,"0,60,0"
move 61 degree towards right,"0,61,0"
move 62 degree towards right,"0,62,0"
move 63 degree towards right,"0,63,0"
move 64 degree towards right,"0,64,0"
move 65 degree towards right,"0,65,0"
move 66 degree towards right,"0,66,0"
move 67 degree towards right,"0,67,0"
move 68 degree towards right,"0,68,0"
move 69 degree towards right,"0,69,0"
move 70 degree towards right,"0,70,0"
move 71 degree towards right,"0,71,0"
move 72 degree towards right,"0,72,0"
move 73 degree towards right,"0,73,0"
move 74 degree towards right,"0,74,0"
move 75 degree towards right,"0,75,0"
move 76 degree towards right,"0,76,0"
move 77 degree towards right,"0,77,0"
move 78 degree towards right,"0,78,0"
move 79 degree towards right,"0,79,0"
move 80 degree towards right,"0,80,0"
move 81 degree towards right,"0,81,0"
move 82 degree towards right,"0,82,0"
move 83 degree towards right,"0,83,0"
move 84 degree towards right,"0,84,0"
move 85 degree towards right,"0,85,0"
move 86 degree towards right,"0,86,0"
move 87 degree towards right,"0,87,0"
move 88 degree towards right,"0,88,0"
move 89 degree towards right,"0,89,0"
move 90 degree towards right,"0,90,0"
move 91 degree towards right,"0,91,0"
move 92 degree towards right,"0,92,0"
move 93 degree towards right,"0,93,0"
move 94 degree towards right,"0,94,0"
move 95 degree towards right,"0,95,0"
move 96 degree towards right,"0,96,0"
move 97 degree towards right,"0,97,0"
move 98 degree towards right,"0,98,0"
move 99 degree towards right,"0,99,0"
move 100 degree towards right,"0,100,0"
move 101 degree towards right,"0,101,0"
move 102 degree towards right,"0,102,0"
move 103 degree towards right,"0,103,0"
move 104 degree towards right,"0,104,0"
move 105 degree towards right,"0,105,0"
move 106 degree towards right,"0,106,0"
move 107 degree towards right,"0,107,0"
move 108 degree towards right,"0,108,0"
move 109 degree towards right,"0,109,0"
move 110 degree towards right,"0,110,0"
move 111 degree towards right,"0,111,0"
move 112 degree towards right,"0,112,0"
move 113 degree towards right,"0,113,0"
move 114 degree towards right,"0,114,0"
move 115 degree towards right,"0,115,0"
move 116 degree towards right,"0,116,0"
move 117 degree towards right,"0,117,0"
move 118 degree towards right,"0,118,0"
move 119 degree towards right,"0,119,0"
move 120 degree towards right,"0,120,0"
move 121 degree towards right,"0,121,0"
move 122 degree towards right,"0,122,0"
move 123 degree towards right,"0,123,0"
move 124 degree towards right,"0,124,0"
move 125 degree towards right,"0,125,0"
move 126 degree towards right,"0,126,0"
move 127 degree towards right,"0,127,0"
move 128 degree towards right,"0,128,0"
move 129 degree towards right,"0,129,0"
move 130 degree towards right,"0,130,0"
move 131 degree towards right,"0,131,0"
move 132 degree towards right,"0,132,0"
move 133 degree towards right,"0,133,0"
move 134 degree towards right,"0,134,0"
move 135 degree towards right,"0,135,0"
move 136 degree towards right,"0,136,0"
move 137 degree towards right,"0,137,0"
move 138 degree towards right,"0,138,0"
move 139 degree towards right,"0,139,0"
move 140 degree towards right,"0,140,0"
move 141 degree towards right,"0,141,0"
move 142 degree towards right,"0,142,0"
move 143 degree towards right,"0,143,0"
move 144 degree towards right,"0,144,0"
move 145 degree towards right,"0,145,0"
move 146 degree towards right,"0,146,0"
move 147 degree towards right,"0,147,0"
move 148 degree towards right,"0,148,0"
move 149 degree towards right,"0,149,0"
move 150 degree towards right,"0,150,0"
move 151 degree towards right,"0,151,0"
move 152 degree towards right,"0,152,0"
move 153 degree towards right,"0,153,0"
move 154 degree towards right,"0,154,0"
move 155 degree towards right,"0,155,0"
move 156 degree towards right,"0,156,0"
move 157 degree towards right,"0,157,0"
move 158 degree towards right,"0,158,0"
move 159 degree towards right,"0,159,0"
move 160 degree towards right,"0,160,0"
move 161 degree towards right,"0,161,0"
move 162 degree towards right,"0,162,0"
move 163 degree towards right,"0,163,0"
move 164 degree towards right,"0,164,0"
move 165 degree towards right,"0,165,0"
move 166 degree towards right,"0,166,0"
move 167 degree towards right,"0,167,0"
move 168 degree towards right,"0,168,0"
move 169 degree towards right,"0,169,0"
move 170 degree towards right,"0,170,0"
move 171 degree towards right,"0,171,0"
move 172 degree towards right,"0,172,0"
move 173 degree towards right,"0,173,0"
move 174 degree towards right,"0,174,0"
move 175 degree towards right,"0,175,0"
move 176 degree towards right,"0,176,0"
move 177 degree towards right,"0,177,0"
move 178 degree towards right,"0,178,0"
move 179 degree towards right,"0,179,0"
move 180 degree towards right,"0,180,0"
move 181 degree towards right,"0,181,0"
move 182 degree towards right,"0,182,0"
move 183 degree towards right,"0,183,0"
move 184 degree towards right,"0,184,0"
move 185 degree towards right,"0,185,0"
move 186 degree towards right,"0,186,0"
move 187 degree towards right,"0,187,0"
move 188 degree towards right,"0,188,0"
move 189 degree towards right,"0,189,0"
move 190 degree towards right,"0,190,0"
move 191 degree towards right,"0,191,0"
move 192 degree towards right,"0,192,0"
move 193 degree towards right,"0,193,0"
move 194 degree towards right,"0,194,0"
move 195 degree towards right,"0,195,0"
move 196 degree towards right,"0,196,0"
move 197 degree towards right,"0,197,0"
move 198 degree towards right,"0,198,0"
move 199 degree towards right,"0,199,0"
move 200 degree towards right,"0,200,0"
move 201 degree towards right,"0,201,0"
move 202 degree towards right,"0,202,0"
move 203 degree towards right,"0,203,0"
move 204 degree towards right,"0,204,0"
move 205 degree towards right,"0,205,0"
move 206 degree towards right,"0,206,0"
move 207 degree towards right,"0,207,0"
move 208 degree towards right,"0,208,0"
move 209 degree towards right,"0,209,0"
move 210 degree towards right,"0,210,0"
move 211 degree towards right,"0,211,0"
move 212 degree towards right,"0,212,0"
move 213 degree towards right,"0,213,0"
move 214 degree towards right,"0,214,0"
move 215 degree towards right,"0,215,0"
move 216 degree towards right,"0,216,0"
move 217 degree towards right,"0,217,0"
move 218 degree towards right,"0,218,0"
move 219 degree towards right,"0,219,0"
move 220 degree towards right,"0,220,0"
move 221 degree towards right,"0,221,0"
move 222 degree towards right,"0,222,0"
move 223 degree towards right,"0,223,0"
move 224 degree towards right,"0,224,0"
move 225 degree towards right,"0,225,0"
move 226 degree towards right,"0,226,0"
move 227 degree towards right,"0,227,0"
move 228 degree towards right,"0,228,0"
move 229 degree towards right,"0,229,0"
move 230 degree towards right,"0,230,0"
move 231 degree towards right,"0,231,0"
move 232 degree towards right,"0,232,0"
move 233 degree towards right,"0,233,0"
move 234 degree towards right,"0,234,0"
move 235 degree towards right,"0,235,0"
move 236 degree towards right,"0,236,0"
move 237 degree towards right,"0,237,0"
move 238 degree towards right,"0,238,0"
move 239 degree towards right,"0,239,0"
move 240 degree towards right,"0,240,0"
move 241 degree towards right,"0,241,0"
move 242 degree towards right,"0,242,0"
move 243 degree towards right,"0,243,0"
move 244 degree towards right,"0,244,0"
move 245 degree towards right,"0,245,0"
move 246 degree towards right,"0,246,0"
move 247 degree towards right,"0,247,0"
move 248 degree towards right,"0,248,0"
move 249 degree towards right,"0,249,0"
move 250 degree towards right,"0,250,0"
move 251 degree towards right,"0,251,0"
move 252 degree towards right,"0,252,0"
move 253 degree towards right,"0,253,0"
move 254 degree towards right,"0,254,0"
move 255 degree towards right,"0,255,0"
move 256 degree towards right,"0,256,0"
move 257 degree towards right,"0,257,0"
move 258 degree towards right,"0,258,0"
move 259 degree towards right,"0,259,0"
move 260 degree towards right,"0,260,0"
move 261 degree towards right,"0,261,0"
move 262 degree towards right,"0,262,0"
move 263 degree towards right,"0,263,0"
move 264 degree towards right,"0,264,0"
move 265 degree towards right,"0,265,0"
move 266 degree towards right,"0,266,0"
move 267 degree towards right,"0,267,0"
move 268 degree towards right,"0,268,0"
move 269 degree towards right,"0,269,0"
move 270 degree towards right,"0,270,0"
move 271 degree towards right,"0,271,0"
move 272 degree towards right,"0,272,0"
move 273 degree towards right,"0,273,0"
move 274 degree towards right,"0,274,0"
move 275 degree towards right,"0,275,0"
move 276 degree towards right,"0,276,0"
move 277 degree towards right,"0,277,0"
move 278 degree towards right,"0,278,0"
move 279 degree towards right,"0,279,0"
move 280 degree towards right,"0,280,0"
move 281 degree towards right,"0,281,0"
move 282 degree towards right,"0,282,0"
move 283 degree towards right,"0,283,0"
move 284 degree towards right,"0,284,0"
move 285 degree towards right,"0,285,0"
move 286 degree towards right,"0,286,0"
move 287 degree towards right,"0,287,0"
move 288 degree towards right,"0,288,0"
move 289 degree towards right,"0,289,0"
move 290 degree towards right,"0,290,0"
move 291 degree towards right,"0,291,0"
move 292 degree towards right,"0,292,0"
move 293 degree towards right,"0,293,0"
move 294 degree towards right,"0,294,0"
move 295 degree towards right,"0,295,0"
move 296 degree towards right,"0,296,0"
move 297 degree towards right,"0,297,0"
move 298 degree towards right,"0,298,0"
move 299 degree towards right,"0,299,0"
move 300 degree towards right,"0,300,0"
move 301 degree towards right,"0,301,0"
move 302 degree towards right,"0,302,0"
move 303 degree towards right,"0,303,0"
move 304 degree towards right,"0,304,0"
move 305 degree towards right,"0,305,0"
move 306 degree towards right,"0,306,0"
move 307 degree towards right,"0,307,0"
move 308 degree towards right,"0,308,0"
move 309 degree towards right,"0,309,0"
move 310 degree towards right,"0,310,0"
move 311 degree towards right,"0,311,0"
move 312 degree towards right,"0,312,0"
move 313 degree towards right,"0,313,0"
move 314 degree towards right,"0,314,0"
move 315 degree towards right,"0,315,0"
move 316 degree towards right,"0,316,0"
move 317 degree towards right,"0,317,0"
move 318 degree towards right,"0,318,0"
move 319 degree towards right,"0,319,0"
move 320 degree towards right,"0,320,0"
move 321 degree towards right,"0,321,0"
move 322 degree towards right,"0,322,0"
move 323 degree towards right,"0,323,0"
move 324 degree towards right,"0,324,0"
move 325 degree towards right,"0,325,0"
move 326 degree towards right,"0,326,0"
move 327 degree towards right,"0,327,0"
move 328 degree towards right,"0,328,0"
move 329 degree towards right,"0,329,0"
move 330 degree towards right,"0,330,0"
move 331 degree towards right,"0,331,0"
move 332 degree towards right,"0,332,0"
move 333 degree towards right,"0,333,0"
move 334 degree towards right,"0,334,0"
move 335 degree towards right,"0,335,0"
move 336 degree towards right,"0,336,0"
move 337 degree towards right,"0,337,0"
move 338 degree towards right,"0,338,0"
move 339 degree towards right,"0,339,0"
move 340 degree towards right,"0,340,0"
move 341 degree towards right,"0,341,0"
move 342 degree towards right,"0,342,0"
move 343 degree towards right,"0,343,0"
move 344 degree towards right,"0,344,0"
move 345 degree towards right,"0,345,0"
move 346 degree towards right,"0,346,0"
move 347 degree towards right,"0,347,0"
move 348 degree towards right,"0,348,0"
move 349 degree towards right,"0,349,0"
move 350 degree towards right,"0,350,0"
move 351 degree towards right,"0,351,0"
move 352 degree towards right,"0,352,0"
move 353 degree towards right,"0,353,0"
move 354 degree towards right,"0,354,0"
move 355 degree towards right,"0,355,0"
move 356 degree towards right,"0,356,0"
move 357 degree towards right,"0,357,0"
move 358 degree towards right,"0,358,0"
move 359 degree towards right,"0,359,0"
move 360 degree towards right,"0,360,0"
move 1 degree upwards,"-1,0,0"
move 2 degree upwards,"-2,0,0"
move 3 degree upwards,"-3,0,0"
move 4 degree upwards,"-4,0,0"
move 5 degree upwards,"-5,0,0"
move 6 degree upwards,"-6,0,0"
move 7 degree upwards,"-7,0,0"
move 8 degree upwards,"-8,0,0"
move 9 degree upwards,"-9,0,0"
move 10 degree upwards,"-10,0,0"
move 11 degree upwards,"-11,0,0"
move 12 degree upwards,"-12,0,0"
move 13 degree upwards,"-13,0,0"
move 14 degree upwards,"-14,0,0"
move 15 degree upwards,"-15,0,0"
move 16 degree upwards,"-16,0,0"
move 17 degree upwards,"-17,0,0"
move 18 degree upwards,"-18,0,0"
move 19 degree upwards,"-19,0,0"
move 20 degree upwards,"-20,0,0"
move 21 degree upwards,"-21,0,0"
move 22 degree upwards,"-22,0,0"
move 23 degree upwards,"-23,0,0"
move 24 degree upwards,"-24,0,0"
move 25 degree upwards,"-25,0,0"
move 26 degree upwards,"-26,0,0"
move 27 degree upwards,"-27,0,0"
move 28 degree upwards,"-28,0,0"
move 29 degree upwards,"-29,0,0"
move 30 degree upwards,"-30,0,0"
move 31 degree upwards,"-31,0,0"
move 32 degree upwards,"-32,0,0"
move 33 degree upwards,"-33,0,0"
move 34 degree upwards,"-34,0,0"
move 35 degree upwards,"-35,0,0"
